h3_id,listing_count,median_price,mean_price,min_price,max_price,accommodates_mean,accommodates_median,bedrooms_mean,bedrooms_median,beds_mean,beds_median,bathrooms_mean,bathrooms_median,distance_to_center_km_mean,distance_to_center_km_median
881f058007fffff,52,1506.0,1468.4615384615386,360.0,2800.0,3.769230769230769,4.0,1.6538461538461537,2.0,2.1153846153846154,2.0,1.1153846153846154,1.0,4.156730769230769,4.205
881f058365fffff,52,825.5,923.0769230769231,308.0,2500.0,3.25,3.0,1.5,1.0,1.8076923076923077,1.0,1.0769230769230769,1.0,5.111730769230769,5.08
881f058205fffff,51,1391.0,1453.8431372549019,743.0,2400.0,3.5294117647058822,4.0,1.7647058823529411,2.0,1.8823529411764706,2.0,1.1274509803921569,1.0,4.105686274509804,4.08
881f05836bfffff,50,982.5,1104.58,500.0,2182.0,3.14,2.5,1.54,1.0,1.58,1.0,1.02,1.0,3.8594,3.825
881f0591b5fffff,45,710.0,817.4888888888889,315.0,2250.0,2.6444444444444444,2.0,1.2666666666666666,1.0,1.3777777777777778,1.0,1.0444444444444445,1.0,4.430444444444444,4.32
881f05832dfffff,44,900.0,1025.7727272727273,297.0,2400.0,3.7954545454545454,4.0,1.9545454545454546,2.0,2.1363636363636362,2.0,1.1818181818181819,1.0,4.238409090909091,4.205
881f058341fffff,43,1179.0,1259.5813953488373,269.0,2664.0,4.27906976744186,4.0,2.116279069767442,2.0,2.4186046511627906,2.0,1.255813953488372,1.0,4.003023255813954,4.06
881f058119fffff,42,1019.0,1111.5714285714287,383.0,2400.0,4.0,4.0,2.0,2.0,2.5476190476190474,2.0,1.2619047619047619,1.0,4.102857142857142,4.029999999999999
881f058027fffff,42,932.5,972.6666666666666,240.0,2302.0,3.357142857142857,3.0,1.5714285714285714,1.0,1.7857142857142858,1.0,1.0476190476190477,1.0,4.538809523809523,4.555
881f058141fffff,41,975.0,1022.7560975609756,280.0,2150.0,3.268292682926829,3.0,1.6341463414634145,1.0,1.7317073170731707,1.0,1.1097560975609757,1.0,3.7758536585365854,3.78
881f05834dfffff,41,900.0,1041.658536585366,465.0,2600.0,3.926829268292683,4.0,1.8780487804878048,1.0,2.1951219512195124,2.0,1.2560975609756098,1.0,4.819512195121951,4.82
881f05815dfffff,40,1129.5,1234.5,388.0,2543.0,3.725,4.0,1.9,2.0,2.05,2.0,1.1,1.0,2.75725,2.785
881f0591b1fffff,40,754.0,840.4,362.0,2070.0,2.65,2.0,1.15,1.0,1.3333333333333333,1.0,1.0375,1.0,4.4725,4.45
881f05802dfffff,38,888.0,968.0526315789474,400.0,2533.0,3.236842105263158,3.0,1.2894736842105263,1.0,1.631578947368421,1.0,1.105263157894737,1.0,3.1657894736842103,3.205
